Site code,\text{$R^2_{vpd}$},\text{$R^2_{swc}$},\text{$R^2_{ppfd}$},Relimp VPD,Relimp SWC,Relimp PPFD,PPET,\text{$P-PET_{sd}$},Clay,Sand,Total N,Bedrock,Stand height,LAI
CZE\_LAN,0.79,0.76,0.72,0.67,0.08,0.25,0.66,37.49,17.80 a,71.80 a,2.46,200,36.00 a,6.04 a
CZE\_RAJ\_RAJ,0.38,0.4,0.43,0.33,0.07,0.6,0.99,26.14,21.80 b,33.90 b,1.96,200,18.00 a,4.60 b
CZE\_SOB\_SOB,0.48,0.45,0.14,0.52,0.25,0.23,0.71,28.98,29.60 b,27.40 b,1.91,200,21.00 a,6.00 b
CZE\_STI,0.54,0.32,0.39,0.7,0.18,0.12,1.13,27.1,34.20 a,47.60 a,1.65,200,31.00 a,5.50 a
CZE\_UTE\_BPO,0.62,0.65,0.52,0.46,0.16,0.38,0.75,29.86,26.70 b,23.80 b,2.71,200,18.00 a,6.10 b
DEU\_HIN\_OAK,0.43,0.19,0.33,0.92,0.07,0.01,0.95,35.1,17.90 b,49.90 b,2.42,200,31.45 c,5.70 b
DEU\_HIN\_TER,0.31,0.22,0.24,0.76,0.01,0.24,0.95,35.1,18.00 b,50.50 b,2.05,200,24.43 c,5.60 b
DEU\_MER\_BEE\_NON,0.47,0.27,0.29,0.76,0.06,0.18,1.48,47.33, 4.00 a,71.00 a,2.56,200,23.00 a,5.90 a
DEU\_MER\_DOU\_NON,0.45,0.25,0.22,0.6,0.31,0.1,1.48,47.33, 4.00 a,71.00 a,2.56,200,29.00 a,5.30 a
DEU\_MER\_MIX\_NON,0.41,0.23,0.26,0.82,0.02,0.16,1.48,47.33, 4.00 a,71.00 a,2.56,200,30.00 a,6.10 a
DEU\_STE\_2P3,0.56,0.15,0.3,0.86,0.09,0.05,0.9,37.45, 2.50 a,92.50 a,3.28,200,27.20 a,4.30 b
DEU\_STE\_4P5,0.48,0.27,0.31,0.64,0.28,0.09,0.9,37.45, 2.50 a,92.50 a,3.28,200,27.20 a,4.30 b
ESP\_ALT\_ARM,0.51,0.3,0.29,0.91,0.01,0.09,0.66,65.8,21.90 b,41.50 b,1.27,187,19.00 b,1.09 a
ESP\_ALT\_HUE,0.47,0.22,0.18,0.78,0.02,0.21,0.51,63.08,21.60 b,35.90 b,1.46,200, 8.64 c,1.50 b
ESP\_ALT\_TRI,0.58,0.44,0.31,0.8,0.07,0.12,0.57,63.48,21.00 b,40.00 b,1.31,196, 4.89 a,1.60 b
ESP\_CAN,0.55,0.4,0.34,0.74,0.02,0.24,0.94,46.91,32.90 b,28.30 b,1.76,179,10.80 a,3.30 a
ESP\_GUA\_VAL,0.51,0.28,0.23,0.69,0,0.31,0.68,69.09,24.80 b,40.90 b,1.27,200,12.00 a,3.80 a
ESP\_LAS,0.37,0.25,0.07,0.57,0.37,0.06,1.63,37.89, 1.00 a,70.00 a,1.65,197,10.30 a,3.60 a
ESP\_MAJ\_MAI,0.56,0.43,0.28,0.73,0.14,0.12,0.76,97.45, 9.00 a,80.00 a,1.18,200, 7.00 a,0.30 a
ESP\_MON\_SIE\_NAT,0.25,0.2,0.22,0.49,0.09,0.42,0.62,63.05,20.80 b,41.90 b,1.45,200,22.00 a,3.30 b
ESP\_RIN,0.83,0.61,0.59,0.97,0,0.03,0.85,76.3,15.00 a, 9.00 a,2.17,200, 7.40 a,3.40 a
ESP\_RON\_PIL,0.37,0.25,0.17,0.6,0.07,0.33,1.05,93.66,18.00 a,30.00 a,1.86,200, 2.60 a,0.90 b
ESP\_TIL\_MIX,0.45,0.36,0.22,0.55,0.09,0.36,0.77,48.1,20.00 a,60.00 a,1.44,162,14.20 a,3.27 a
ESP\_TIL\_OAK,0.31,0.38,0.18,0.45,0.15,0.4,0.77,48.1,20.00 a,60.00 a,1.44,162, 5.00 a,4.59 a
ESP\_TIL\_PIN,0.37,0.45,0.08,0.43,0.37,0.2,0.79,48.1,20.00 a,60.00 a,1.78,188,18.30 a,1.02 a
ESP\_VAL\_BAR,0.61,0.22,0.29,0.9,0,0.1,0.7,34.07,32.63 a, 9.81 a,1.94,200,10.60 a,2.10 a
ESP\_VAL\_SOR,0.58,0.36,0.26,0.73,0.14,0.13,0.78,32.15,20.00 a,60.00 a,2.04,200,11.00 a,2.40 a
ESP\_YUN\_C1,0.37,0.5,0.24,0.28,0.56,0.16,0.83,93.65,29.00 a,22.00 a,1.37,197,10.60 a,2.20 b
ESP\_YUN\_C2,0.28,0.62,0.27,0.21,0.43,0.37,0.78,91.33,29.00 a,22.00 a,1.37,188,11.60 a,2.50 b
FIN\_HYY\_SME,0.57,0.49,0.62,0.12,0.86,0.02,1.2,38.32, 6.50 a,37.00 a,1.67,200,18.00 a,1.30 a
FIN\_PET,0.59,0.5,0.58,0.47,0.37,0.16,1.13,26.34, 7.30 b,60.80 b,5.08,200, 3.76 a,0.61 a
FRA\_FON,0.78,0.68,0.68,0.7,0.17,0.13,0.89,45.1,19.00 a,37.00 a,1.26,200,28.00 a,6.00 a
FRA\_HES\_HE1\_NON,0.46,0.57,0.41,0.45,0.25,0.3,1.31,47.72,25.00 a, 8.00 a,1.41,200,12.80 a,6.00 a
FRA\_HES\_HE2\_NON,0.33,0.5,0.16,0.42,0.27,0.31,1.31,47.72,25.00 a, 8.00 a,1.41,200,13.00 a,6.00 a
FRA\_PUE,0.49,0.52,0.33,0.51,0.18,0.3,1.27,70.16,39.00 a,26.00 a,1.69,195, 5.00 a,2.40 a
GBR\_ABE\_PLO,0.4,0.37,0.35,0.51,0.22,0.27,1.92,47.48,10.00 a,60.00 a,3.7,179,10.00 a,6.00 a
GBR\_DEV\_CON,0.89,0.45,0.58,0.95,0.01,0.04,1.43,44.38,14.80 b,56.90 b,3.44,200,15.00 a,1.92 a
GBR\_GUI\_ST1,0.84,0.79,0.78,0.68,0,0.32,3.19,68.11, 3.70 b,80.40 b,14.26,197,11.00 a,0.92 a
GBR\_GUI\_ST2,0.64,0.55,0.49,0.59,0.03,0.38,3.19,68.11, 3.70 b,80.40 b,14.26,197,13.30 a,0.94 a
GBR\_GUI\_ST3,0.86,0.82,0.79,0.73,0.03,0.24,3.19,68.11, 3.70 b,80.40 b,14.26,197,14.30 a,1.57 a
GUF\_GUY\_GUY,0.97,0.89,0.94,0.82,0.05,0.12,2.88,135.18,43.00 a,48.00 a,1.53,200,35.00 a,7.00 a
GUF\_GUY\_ST2,0.8,0.77,0.76,0.61,0.3,0.09,3.02,141.34,43.20 a,47.80 a,1.66,200,35.00 a,6.70 a
GUF\_NOU\_PET,0.76,0.53,0.66,1,0,0,2.69,158.16,59.20 a,33.20 a,2.22,200,35.00 a,5.50 a
HUN\_SIK,0.86,0.42,0.56,0.9,0,0.09,0.7,39.64,30.40 b,44.00 b,1.64,200,20.00 a,7.00 a
ISR\_YAT\_YAT,0.4,0.32,0.18,0.62,0.37,0.01,0.28,83.43,28.00 a,31.00 a,0.71,178,11.00 a,1.70 a
ITA\_FEI\_S17,0.53,0.37,0.3,0.66,0.14,0.19,1.08,22.97, 8.00 a,76.00 a,3.11,117,20.00 a,3.10 b
ITA\_KAE\_S20,0.68,0.45,0.46,0.75,0.07,0.18,1.24,22.97,17.00 a,50.00 a,3.64,121,14.00 a,2.60 b
ITA\_MUN,0.63,0.48,0.42,0.62,0.31,0.06,0.8,29.87, 7.00 a,55.00 a,1.93,188,18.00 a,2.20 b
ITA\_REN,0.85,0.77,0.79,0.95,0.02,0.04,1.61,12.59,17.70 b,47.90 b,2.73,143,27.00 b,4.60 b
ITA\_RUN\_N20,0.84,0.73,0.74,0.94,0.02,0.04,1.39,15.28,14.00 a,54.00 a,3.33,123,18.70 a,5.70 b
MEX\_COR\_YP,0.68,0.24,0.31,0.78,0.05,0.18,1.42,81.77,22.20 b,46.40 b,2.94,200, 7.00 a,5.20 a
NLD\_LOO,0.55,0.31,0.27,0.74,0.02,0.24,1.33,41.67, 1.00 a,99.00 a,2.61,200,18.00 a,2.20 a
NLD\_SPE\_DOU,0.76,0.6,0.63,0.81,0.09,0.11,1.42,39.8, 4.80 b,80.70 b,1.62,200,30.00 a,4.50 a
NZL\_HUA\_HUA,0.71,0.62,0.61,0.75,0.17,0.08,2.62,42.52,71.20 a,13.20 a,1.73,200,27.00 a,6.60 b
PRT\_LEZ\_ARN,0.7,0.23,0.25,0.77,0.02,0.21,0.72,77.42, 5.04 a,90.38 a,1.52,200,12.00 a,1.50 a
PRT\_MIT,0.76,0.47,0.36,0.78,0.18,0.04,0.51,80.8,16.10 b,64.50 b,1.33,200, 7.50 a,0.55 a
PRT\_PIN,0.65,0.5,0.36,0.66,0.33,0.01,0.76,74.76,16.60 b,61.20 b,1.26,200,12.60 a,1.10 b
RUS\_CHE\_Y4,0.31,0.21,0.23,0.95,0.01,0.04,0.62,34.23,21.10 b,23.20 b,4.96,200, 7.00 a,1.30 b
RUS\_FYO,0.72,0.62,0.62,0.88,0,0.12,1.24,30.87,18.20 b,48.80 b,3.77,198,23.50 a,3.50 a
RUS\_POG\_VAR,0.78,0.49,0.61,0.89,0,0.11,0.7,33.02,28.60 b,37.50 b,2.64,200,22.00 a,2.80 b
SEN\_SOU\_PRE,0.75,0.35,0.16,0.79,0.21,0,0.13,43.94, 6.00 a,90.00 a,0.23,200, 7.00 a,0.22 a
SWE\_NOR\_ST1\_BEF,0.75,0.62,0.62,0.68,0.19,0.13,1.07,36.7, 5.80 a,58.60 a,2.63,185,28.70 a,4.18 a
SWE\_NOR\_ST2,0.26,0.21,0.17,0.56,0,0.44,1.07,36.7, 5.80 a,58.60 a,2.63,185,27.70 a,6.15 a
SWE\_NOR\_ST3,0.62,0.61,0.6,0.67,0.08,0.25,1.07,36.7, 5.80 a,58.60 a,2.63,185,27.20 a,4.55 a
SWE\_NOR\_ST5\_REF,0.59,0.62,0.57,0.5,0.2,0.3,1.07,36.55,19.20 b,43.50 b,2.83,190,20.00 a,5.00 a
SWE\_SKO\_MIN,0.76,0.74,0.7,0.55,0.04,0.41,1.6,45.86,17.30 b,52.00 b,2.48,133,28.00 a,6.50 a
SWE\_SKY\_38Y,0.38,0.46,0.4,0.12,0.88,0,1.39,33.61,21.70 b,43.80 b,3.93,184,13.60 a,3.98 a
SWE\_SKY\_68Y,0.38,0.57,0.37,0.1,0.76,0.14,1.3,33.8,18.90 b,46.50 b,4.15,184,20.30 a,3.83 a
SWE\_SVA\_MIX\_NON,0.64,0.47,0.54,0.88,0.11,0,1.33,34.34, 0.50 a,92.50 a,1.67,200,15.00 a,3.80 b
THA\_KHU,0.51,0.38,0.39,0.71,0.25,0.05,0.83,84.24,10.00 a,65.00 a,0.75,200,15.00 a,3.90 a
USA\_BNZ\_BLA,0.66,0.43,0.56,0.78,0.17,0.06,0.69,33.86,10.30 b,36.80 b,2.57,200, 3.00 a,3.60 b
USA\_CHE\_ASP,0.69,0.34,0.3,0.92,0.02,0.06,1.23,20.06,12.00 a,74.00 a,1.52,200,10.00 a,4.50 a
USA\_CHE\_MAP,0.71,0.62,0.65,0.81,0.02,0.17,1.22,19.85, 6.63 a,59.31 a,2.54,200,18.00 a,3.90 a
USA\_DUK\_HAR,0.72,0.62,0.68,0.86,0.03,0.1,1.12,41.33,33.90 b,31.00 b,0.76,200,25.00 a,7.03 a
USA\_HIL\_HF2,0.72,0.67,0.71,0.59,0,0.41,1.14,37.46,26.00 a,43.00 a,0.71,200,15.00 a,5.50 a
USA\_INM,0.52,0.42,0.47,0.53,0,0.47,1.18,39.2,26.70 b, 8.00 b,1.05,200,30.00 a,4.90 a
USA\_MOR\_SF,0.73,0.52,0.5,0.89,0.1,0.01,1.18,39.2,30.00 a,10.00 a,1.05,200,27.00 a,5.00 a
USA\_NWH,0.87,0.82,0.7,0.84,0.03,0.14,1.05,59.56,36.70 b, 4.90 b,0.8,200,22.70 a,5.60 b
USA\_ORN\_ST1\_AMB,0.64,0.62,0.56,0.52,0.08,0.41,1.14,61.36,24.00 a,21.00 a,0.85,200,17.90 a,5.50 a
USA\_PAR\_FER,0.49,0.16,0.23,0.68,0.03,0.29,1.32,25.96,10.00 a,60.00 a,1.75,200,18.00 a,4.20 a
USA\_PER\_PER,0.61,0.3,0.33,0.8,0.01,0.19,1.32,34.41, 3.40 b,89.20 b,6.13,200,12.00 a,4.10 a
USA\_PJS\_P04\_AMB,0.46,0.15,0.31,0.78,0.12,0.1,0.25,49.32, 6.00 a,52.00 a,0.82,186, 4.20 a,0.71 a
USA\_PJS\_P08\_AMB,0.5,0.16,0.26,0.93,0.07,0,0.25,49.32, 3.00 a,49.00 a,0.82,186, 4.10 a,0.90 a
USA\_PJS\_P12\_AMB,0.36,0.17,0.11,0.65,0.3,0.05,0.25,49.32, 6.00 a,54.00 a,0.82,186, 4.00 a,0.72 a
USA\_SIL\_OAK\_1PR,0.44,0.49,0.41,0.33,0.49,0.18,1.36,38.7, 1.00 a,98.00 a,0.74,200, 9.50 a,3.60 a
USA\_SIL\_OAK\_2PR,0.43,0.33,0.39,0.94,0.06,0,1.36,38.7, 1.00 a,98.00 a,0.74,200, 9.50 a,3.60 a
USA\_SMI\_SER,0.58,0.46,0.39,0.64,0.29,0.06,1.03,40.05,28.70 b,30.90 b,0.82,200,40.00 a,5.80 b
USA\_SWH,0.82,0.56,0.52,0.92,0.02,0.06,1.09,62.29,43.10 b, 6.30 b,0.69,200,24.20 a,4.00 b
USA\_SYL\_HL1,0.57,0.42,0.44,0.92,0.08,0,1.27,25.01, 8.90 b,51.00 b,1.41,200,27.00 a,5.40 b
USA\_SYL\_HL2,0.53,0.5,0.5,0.66,0.02,0.31,1.27,25.01, 8.90 b,51.00 b,1.41,200,27.00 a,5.40 b
USA\_TNB,0.31,0.33,0.3,0.37,0.13,0.5,1.39,48.33,21.60 b,34.90 b,0.84,200,25.00 a,4.70 a
USA\_TNO,0.38,0.39,0.37,0.41,0.22,0.38,1.41,60.02,29.60 b,30.20 b,0.83,200,30.00 a,6.60 a
USA\_TNP,0.34,0.38,0.31,0.5,0.18,0.32,1.41,61.6,31.60 b,26.60 b,0.81,200,25.00 a,4.50 a
USA\_UMB\_CON,0.61,0.46,0.44,0.76,0.02,0.22,1.3,30.6, 1.00 a,92.00 a,2.02,200,29.00 a,3.50 a
USA\_UMB\_GIR,0.57,0.43,0.39,0.76,0.05,0.19,1.25,30.69, 1.00 a,92.00 a,2.49,200,29.00 a,3.50 a
USA\_WIL\_WC1,0.54,0.3,0.23,0.81,0.18,0.01,1.19,20.23, 6.90 b,53.20 b,1.01,200,24.30 a,6.20 b
USA\_WVF,0.43,0.35,0.35,0.65,0.02,0.33,1.63,30.35,24.90 b,29.90 b,1.37,200,30.00 a,6.90 a
ZAF\_FRA\_FRA,0.61,0.08,0.24,0.96,0.01,0.03,0.9,99.17,20.00 b,69.90 b,0.95,200,20.00 a,1.80 a
ZAF\_RAD,0.45,0.33,0.32,0.58,0.06,0.37,0.95,82.73,21.30 b,61.40 b,1.18,200, 3.50 a,2.70 a
ZAF\_SOU\_SOU,0.43,0.18,0.17,0.58,0.05,0.38,0.97,86.39,23.00 b,61.90 b,1.13,200, 4.00 a,3.00 a
ZAF\_WEL\_SOR,0.63,0.29,0.32,0.66,0.05,0.29,0.5,79.71,20.00 a,60.00 a,0.81,179,25.00 a,1.80 a
