site_code,DOI
ESP_SAN_B_100,https://doi.org/10.1007/s11104-013-1704-2; https://doi.org/10.1016/j.agwat.2012.06.027; https://doi.org/10.1016/j.agrformet.2015.11.013
ESP_SAN_B2_100,https://doi.org/10.1007/s11104-013-1704-2; https://doi.org/10.1016/j.agwat.2012.06.027; https://doi.org/10.1016/j.agrformet.2015.11.013
ESP_TIL_MIX,https://doi.org/10.1111/nph.12278
ESP_TIL_OAK,https://doi.org/10.3390/f6082505;https://doi.org/10.1111/nph.12278
ESP_TIL_PIN,https://doi.org/10.3390/f6082505;https://doi.org/10.1111/nph.12278
ESP_VAL_BAR,https://doi.org/10.1093/treephys/27.4.537;https://doi.org/10.5194/hess-9-493-2005
ESP_VAL_SOR,https://doi.org/10.5194/hess-9-493-2005;https://doi.org/10.1016/j.agrformet.2007.05.003
ESP_YUN_C1,https://doi.org/10.1016/j.foreco.2017.10.017;https://doi.org/10.3390/f10121132
ESP_YUN_C2,https://doi.org/10.1016/j.foreco.2017.10.017;https://doi.org/10.3390/f10121132
ESP_YUN_T1_THI,https://doi.org/10.1016/j.foreco.2017.10.017;https://doi.org/10.3390/f10121132
ESP_YUN_T3_THI,https://doi.org/10.1016/j.foreco.2017.10.017;https://doi.org/10.3390/f10121132
FIN_HYY_SME,https://doi.org/10.1007/978-94-007-5603-8_9
FIN_PET,unpublished;https://doi.org/10.1016/j.agrformet.2012.02.009
FRA_FON,https://doi.org/10.1111/nph.13771
FRA_HES_HE1_NON,https://doi.org/10.1051/forest:2008052
FRA_HES_HE2_NON,https://doi.org/10.1051/forest:2008052
FRA_PUE,https://doi.org/10.1111/j.1365-2486.2009.01852.x
GBR_ABE_PLO,https://doi.org/10.1111/j.1365-3040.2007.01647.x.
GBR_DEV_CON,https://doi.org/10.1093/treephys/18.6.393
GBR_DEV_DRO,https://doi.org/10.1093/treephys/18.6.393
GBR_GUI_ST1,https://doi.org/10.1007/s00442-006-0552-7
GBR_GUI_ST2,https://doi.org/10.1007/s00442-006-0552-7
GBR_GUI_ST3,https://doi.org/10.1007/s00442-006-0552-7
GUF_GUY_GUY,https://doi.org/10.1111/j.1365-2486.2008.01610.x
GUF_GUY_ST2,https://doi.org/10.1111/j.1744-7429.2012.00902.x
GUF_NOU_PET,https://doi.org/10.1111/1365-2435.13188
HUN_SIK,"Mészáros, I., Kanalas, P., Fenyvesi, A., Kis, J., Nyitrai, B., Szollosi, E., Oláh, V., Demeter, Z., Lakatos, Á., & Ander, I. (2011). Diurnal and seasonal changes in stem radius increment and sap flow density indicate different responses of two co-existing oak species to drought stress. Acta Silvatica et Lignaria Hungarica, 7, 97-108."
IDN_JAM_OIL,https://doi.org/10.1016/j.agrformet.2019.04.017; http://doi:10.1093/treephys/tpv013
IDN_JAM_RUB,https://doi.org/10.1016/j.agrformet.2019.04.017; https://doi.org/10.1002/eco.1882
IDN_PON_STE,https://doi.org/10.1007/s13595-011-0110-2
ISR_YAT_YAT,https://doi.org/10.1111/nph.13597
ITA_FEI_S17,https://doi.org/10.1111/nph.15348
ITA_KAE_S20,https://doi.org/10.1111/nph.15348
ITA_MAT_S21,https://doi.org/10.1111/nph.15348
ITA_MUN,https://doi.org/10.1111/nph.15348
ITA_REN,unpublished
ITA_RUN_N20,https://doi.org/10.1111/nph.15348
ITA_TOR,https://doi.org/10.1007/s00484-012-0614-y;https://doi.org/10.1007/s00484-008-0152-9
JPN_EBE_HYB,unpublished
JPN_EBE_SUG,unpublished
KOR_TAE_TC1_LOW,https://doi.org/10.1007/s10310-014-0463-0
KOR_TAE_TC2_MED,https://doi.org/10.1007/s10310-014-0463-0
KOR_TAE_TC3_EXT,https://doi.org/10.1007/s10310-014-0463-0
MDG_SEM_TAL,unpublished
MDG_YOU_SHO,https://doi.org/10.1093/treephys/tpy004
MEX_COR_YP,https://doi.org/10.1016/j.agrformet.2013.11.002;https://doi.org/10.1016/j.agrformet.2012.08.004
MEX_VER_BSJ,unpublished
MEX_VER_BSM,unpublished
NLD_LOO,https://doi.org/10.1016/j.agrformet.2011.07.020
NLD_SPE_DOU,https://doi.org/10.17026/dans-zvq-dq4w
NZL_HUA_HUA,unpublished;https://doi.org/10.1007/s00468-015-1164-9
PRT_LEZ_ARN,https://doi.org/10.1002/hyp.10097
PRT_MIT,https://doi.org/10.1093/treephys/27.6.793
PRT_PIN,https://doi.org/10.1007/s10021-011-9453-7
RUS_CHE_LOW,https://doi.org/10.1002/eco.2132
RUS_CHE_Y4,https://doi.org/10.1002/2016JG003709
RUS_FYO,unpublished;https://doi.org/10.3402/tellusb.v54i5.16679
RUS_POG_VAR,https://doi.org/10.1016/j.agrformet.2019.02.038; https://doi.org/10.17660/ActaHortic.2018.1222.17
SEN_SOU_IRR,https://doi.org/10.1093/treephys/28.1.95
SEN_SOU_POS,https://doi.org/10.1093/treephys/28.1.95
SEN_SOU_PRE,https://doi.org/10.1093/treephys/28.1.95
SWE_NOR_ST1_AF1,https://doi.org/10.1016/S0168-1923(99)00092-1
SWE_NOR_ST1_AF2,https://doi.org/10.1016/S0168-1923(99)00092-1
SWE_NOR_ST1_BEF,https://doi.org/10.1016/S0168-1923(99)00092-1
SWE_NOR_ST2,https://doi.org/10.1016/S0168-1923(99)00092-1
SWE_NOR_ST3,https://doi.org/10.1016/S0168-1923(99)00092-1
SWE_NOR_ST4_AFT,https://doi.org/10.1016/j.foreco.2007.12.047
SWE_NOR_ST4_BEF,https://doi.org/10.1016/j.foreco.2007.12.047
SWE_NOR_ST5_REF,https://doi.org/10.1016/j.foreco.2007.12.047
SWE_SKO_MIN,https://doi.org/10.1139/cjfr-2016-0541
SWE_SKY_38Y,unpublished
SWE_SKY_68Y,unpublished
SWE_SVA_MIX_NON,https://doi.org/10.5194/hess-24-2999-2020
THA_KHU,https://doi.org/10.1093/treephys/tpr058
USA_BNZ_BLA,https://doi.org/10.1002/2014JG002683
USA_CHE_ASP,https://doi.org/10.1029/2007WR006272; https://doi.org/10.1029/2009WR008125; https://doi.org/:10.1029/2009JG001092; https://doi.org/10.1111/j.1365-2435.2009.01657.x
USA_CHE_MAP,https://doi.org/10.1111/j.1365-2435.2009.01657.x;https://doi.org/10.1029/2009WR008125;https://doi.org/10.1029/2010JG001377
USA_DUK_HAR,https://doi.org/10.1016/j.agrformet.2008.06.013
USA_HIL_HF1_POS,https://doi.org/10.1002/hyp.10474
USA_HIL_HF1_PRE,https://doi.org/10.1002/hyp.10474
USA_HIL_HF2,https://doi.org/10.1002/hyp.10474
USA_HUY_LIN_NON,https://doi.org/10.2307/3858565
USA_INM,https://doi.org/10.1016/S0168-1923(00)00199-4;https://doi.org/10.1046/j.1365-2486.2002.00492.x
USA_MOR_SF,https://doi.org/10.1093/treephys/tpw126
USA_NWH,https://doi.org/10.1002/2015JG003208
USA_ORN_ST1_AMB,https://doi.org/10.1093/treephys/tpr002;https://doi.org/10.1002/eco.173
USA_ORN_ST2_AMB,https://doi.org/10.1093/treephys/tpr002;https://doi.org/10.1002/eco.173
USA_ORN_ST3_ELE,https://doi.org/10.1002/eco.173
USA_ORN_ST4_ELE,https://doi.org/10.1002/eco.173
USA_PAR_FER,https://doi.org/10.1111/j.1469-8137.2010.03245.x;https://doi.org/10.1111/j.1365-3040.2009.01981.x;http://doi.org/10.5849/forsci.11-051
USA_PER_PER,https://doi.org/10.3390/f7100214
USA_PJS_P04_AMB,http://doi.org/10.1890/ES11-00369.1
USA_PJS_P08_AMB,http://doi.org/10.1890/ES11-00369.1
USA_PJS_P12_AMB,http://doi.org/10.1890/ES11-00369.1
USA_SIL_OAK_1PR,https://doi.org/10.1002/hyp.10104;https://doi.org/ 10.1111/j.1365-2486.2009.02037.x;https://doi.org/10.1093/treephys/tpt122
USA_SIL_OAK_2PR,https://doi.org/10.1002/hyp.10104;https://doi.org/ 10.1111/j.1365-2486.2009.02037.x;https://doi.org/10.1093/treephys/tpt122
USA_SIL_OAK_POS,https://doi.org/10.1002/hyp.10104;https://doi.org/ 10.1111/j.1365-2486.2009.02037.x;https://doi.org/10.1093/treephys/tpt122
USA_SMI_SCB,https://doi.org10.1111/1365-2435.12470
USA_SMI_SER,unpublished;https://doi.org/10.1002/ece3.1117
USA_SWH,https://doi.org/10.1002/2015JG003208
USA_SYL_HL1,https://doi.org/10.1029/2005JG000083
USA_SYL_HL2,https://curate.nd.edu/show/hm50tq60r1c
USA_TNB,https://doi.org/10.1016/S0168-1923(00)00199-4
USA_TNO,https://doi.org/10.1016/S0168-1923(00)00199-4
USA_TNP,https://doi.org/10.1016/S0168-1923(00)00199-4
USA_TNY,https://doi.org/10.1016/S0168-1923(00)00199-4
USA_UMB_CON,https://doi.org/10.1002/2014JG002804
USA_UMB_GIR,https://doi.org/10.1002/2014JG002804
USA_WIL_WC1,https://doi.org/10.1016/j.agrformet.2004.06.008
USA_WIL_WC2,unpublished
USA_WVF,https://doi.org/10.1016/S0168-1923(00)00199-4;https://doi.org/10.1016/S0168-1923(96)02375-1
UZB_YAN_DIS,https://doi.org/10.1016/j.foreco.2007.09.005
ZAF_FRA_FRA,https://doi.org/10.1016/j.foreco.2015.11.009
ZAF_NOO_E3_IRR,"https://doi.org/10.1016/j.agrformet.2019.02.042;Gush, M.B., Dzikiti, S., Clulow, A.D., Mengistu, M.G., Jarmain, C., Taylor, N.J. and Everson, C.S. 2014. Water use of apple orchards. In: Gush, M.B. and Taylor, N.J. (Eds) 2014. The water use of selected fruit tree orchards (Volume 2): Technical report on measurements and modelling. Water Research Commission Report No.1770/2/14, Section 3. WRC, Pretoria, RSA. (ISBN 978-1-4312-0575-2)."
ZAF_RAD,https://doi.org/10.1016/j.agwat.2018.06.017;https://doi.org/10.17159/wsa/2020.v46.i2.8236
ZAF_SOU_SOU,https://doi.org/10.1016/j.agwat.2018.06.017;https://doi.org/10.17159/wsa/2020.v46.i2.8236
ZAF_WEL_SOR,https://doi.org/10.1016/j.foreco.2017.05.009
